Sale Price,Region,Home Type,Inventory
237000,NE,Condo/Co-op,185000
225400,NE,Condo/Co-op,188000
235200,NE,Condo/Co-op,205000
246600,NE,Condo/Co-op,221000
234600,NE,Condo/Co-op,210000
229200,NE,Condo/Co-op,190000
227300,NE,Condo/Co-op,210000
236800,NE,Condo/Co-op,210000
243900,NE,Condo/Co-op,200000
255100,NE,Condo/Co-op,180000
248700,NE,Condo/Co-op,190000
257200,NE,Condo/Co-op,190000
238000,NE,Condo/Co-op,210000
144900,MW,Condo/Co-op,80000
145000,MW,Condo/Co-op,79000
139200,MW,Condo/Co-op,82000
135100,MW,Condo/Co-op,93000
132500,MW,Condo/Co-op,100000
125600,MW,Condo/Co-op,100000
128200,MW,Condo/Co-op,90000
132900,MW,Condo/Co-op,90000
135300,MW,Condo/Co-op,90000
135400,MW,Condo/Co-op,90000
135600,MW,Condo/Co-op,90000
134000,MW,Condo/Co-op,90000
128300,MW,Condo/Co-op,90000
110400,S,Condo/Co-op,194000
108100,S,Condo/Co-op,176000
112100,S,Condo/Co-op,200000
107500,S,Condo/Co-op,213000
92400,S,Condo/Co-op,260000
97200,S,Condo/Co-op,220000
96500,S,Condo/Co-op,230000
113600,S,Condo/Co-op,210000
112000,S,Condo/Co-op,180000
118500,S,Condo/Co-op,170000
114000,S,Condo/Co-op,190000
112700,S,Condo/Co-op,180000
107600,S,Condo/Co-op,190000
154600,W,Condo/Co-op,90000
152900,W,Condo/Co-op,91000
146800,W,Condo/Co-op,74000
144500,W,Condo/Co-op,113000
132500,W,Condo/Co-op,130000
133800,W,Condo/Co-op,130000
139500,W,Condo/Co-op,120000
137700,W,Condo/Co-op,110000
151600,W,Condo/Co-op,100000
154600,W,Condo/Co-op,100000
150200,W,Condo/Co-op,90000
175200,W,Condo/Co-op,110000
173700,W,Condo/Co-op,90000
239600,NE,Single-Family,550000
242400,NE,Single-Family,550000
244600,NE,Single-Family,560000
234200,NE,Single-Family,650000
236100,NE,Single-Family,620000
230500,NE,Single-Family,580000
234400,NE,Single-Family,590000
235400,NE,Single-Family,580000
240700,NE,Single-Family,570000
259300,NE,Single-Family,550000
244600,NE,Single-Family,560000
239300,NE,Single-Family,580000
226300,NE,Single-Family,580000
138800,MW,Single-Family,850000
138900,MW,Single-Family,840000
138600,MW,Single-Family,900000
140100,MW,Single-Family,1030000
126400,MW,Single-Family,1050000
120600,MW,Single-Family,950000
126000,MW,Single-Family,970000
131500,MW,Single-Family,1000000
139100,MW,Single-Family,940000
146300,MW,Single-Family,950000
146700,MW,Single-Family,960000
142100,MW,Single-Family,1010000
138200,MW,Single-Family,1000000
153400,S,Single-Family,1520000
153100,S,Single-Family,1520000
150800,S,Single-Family,1570000
153300,S,Single-Family,1740000
141400,S,Single-Family,1790000
140900,S,Single-Family,1620000
143400,S,Single-Family,1740000
145400,S,Single-Family,1740000
152000,S,Single-Family,1670000
158400,S,Single-Family,1700000
157000,S,Single-Family,1650000
154100,S,Single-Family,1760000
148500,S,Single-Family,1700000
223100,W,Single-Family,940000
216300,W,Single-Family,940000
216900,W,Single-Family,1050000
209900,W,Single-Family,1160000
196700,W,Single-Family,1240000
195900,W,Single-Family,1130000
201000,W,Single-Family,1140000
196900,W,Single-Family,1060000
211300,W,Single-Family,1060000
210600,W,Single-Family,1090000
195500,W,Single-Family,950000
211300,W,Single-Family,1140000
210300,W,Single-Family,1050000
